Filename,Green pixels,Total pixels,Coverage
B133_D_EE_IMG_1097_220509_WB_A3_Vrilles.JPG,66273,4641280,0.014279035093767236
B133_E_EE_IMG_1098_220509_WB_A3_Feuilles.JPG,219877,4646400,0.04732201274104683
B133_E_EE_IMG_1098_220509_WB_A3_Fleurs.JPG,3753,4646400,0.0008077221074380166
B133_E_EE_IMG_1098_220509_WB_A3_Tiges.JPG,2003,4646400,0.00043108643250688703
B133_E_EE_IMG_1098_220509_WB_A3_Vrilles.JPG,35912,4646400,0.007728994490358127
B133_F_EE_IMG_1099_220509_WB_A3_Feuilles.JPG,222901,4633600,0.04810536084254144
B133_F_EE_IMG_1099_220509_WB_A3_Tiges.JPG,17219,4633600,0.0037161170580110496
B133_F_EE_IMG_1099_220509_WB_A3_Vrilles.JPG,63748,4633600,0.013757769337016574
B134_A_EE_IMG_1130_220511_WB_A3_Feuilles.JPG,452358,4636160,0.09757169726670348
B134_A_EE_IMG_1130_220511_WB_A3_Tiges.JPG,2330,4636160,0.0005025710933186085
B134_A_EE_IMG_1130_220511_WB_A3_Vrilles.JPG,74237,4636160,0.016012605259525123
B134_B_EE_IMG_1131_220511_WB_A3_Feuilles.JPG,200990,4636160,0.04335268843180563
B134_B_EE_IMG_1131_220511_WB_A3_Tiges.JPG,39688,4636160,0.008560532854776367
B134_B_EE_IMG_1131_220511_WB_A3_Vrilles.JPG,49696,4636160,0.010719215902816123
B134_C_EE_IMG_1132_220511_WB_A3_Feuilles.JPG,178150,4628480,0.038489957826327435
B134_C_EE_IMG_1132_220511_WB_A3_Tiges.JPG,6278,4628480,0.0013563848174778762
B134_C_EE_IMG_1132_220511_WB_A3_Vrilles.JPG,43044,4628480,0.009299813329646018
B134_D_EE_IMG_1133_220511_WB_A3_Feuilles.JPG,150531,4646400,0.032397339876033056
B134_D_EE_IMG_1133_220511_WB_A3_Tiges.JPG,7913,4646400,0.00170303891184573
B134_D_EE_IMG_1133_220511_WB_A3_Vrilles.JPG,27836,4646400,0.005990874655647383
B135_A_EE_IMG_1049_220506_WB_A3_Feuilles.JPG,372827,4631040,0.08050610661967939
B135_A_EE_IMG_1049_220506_WB_A3_Tiges.JPG,0,4631040,0.0
B135_A_EE_IMG_1049_220506_WB_A3_Vrilles.JPG,60485,4631040,0.013060781163626313
B135_B_EE_IMG_1050_220506_WB_A3_Feuilles.JPG,438964,4636160,0.0946826684152402
B135_B_EE_IMG_1050_220506_WB_A3_Tiges.JPG,38743,4636160,0.008356700372722252
B135_B_EE_IMG_1050_220506_WB_A3_Vrilles.JPG,86594,4636160,0.018677957620099394
B141_A_EE_IMG_1274_220523_WB_A2_Feuilles.JPG,351332,4643840,0.07565549200661521
B141_B_EE_IMG_1275_220523_WB_A2_Feuilles.JPG,430383,4633600,0.09288307147790055
B141_B_EE_IMG_1275_220523_WB_A2_Fleurs.JPG,21415,4633600,0.004621676450276243
B141_B_EE_IMG_1275_220523_WB_A2_Vrilles.JPG,77281,4633600,0.016678392610497236
B141_C_EE_IMG_1276_220523_WB_A2_Tiges.JPG,45647,4636160,0.009845863818332414
B141_D_EE_IMG_1277_220523_WB_A2_Feuilles.JPG,394703,4643840,0.08499496106670341
B141_D_EE_IMG_1277_220523_WB_A2_Tiges.JPG,16813,4643840,0.003620495107497244
B141_D_EE_IMG_1277_220523_WB_A2_Vrilles.JPG,56028,4643840,0.012065015159867696
B141_E_EE_IMG_1278_220523_WB_A2_Feuilles.JPG,117237,4628480,0.02532948181692478
B141_E_EE_IMG_1278_220523_WB_A2_Fleurs.JPG,30457,4628480,0.006580346031526549
B141_E_EE_IMG_1278_220523_WB_A2_Tiges.JPG,37502,4628480,0.008102443998893805
B141_E_EE_IMG_1278_220523_WB_A2_Vrilles.JPG,66298,4628480,0.014323924917035399
